scene	filename	lm_scene	keyword	alt1	alt2	alt3	alt4	alt5	snr	interferer.type	num_tokens
S52144	B6rIUxHZ9f4-529.8-533.8	0.28	time	side	town	sign	name	time	2.7	speech	13
S52746	JJyeKiT8g4g-217.4-222.6	0.28	team	theme	deep	scene	team	tube	2.7	speech	11
S52067	WxPGJhyFIZk-352.9-355.8	0.29	says	cell	sat	None	set	said	2.7	speech	9
S51146	w8mToWb9NC8-57.4-61.8	0.39	suddenly	utterly	subtle	suddenly	seventy	certainly	2.7	speech	11
S51734	PXB3-yVGHcI-241.1-245.9	0.08	reviving	revealing	driving	designing	providing	reviving	6.9	noise	10
S52077	2KMk1lJGPlk-56.1-60.8	0.09	rules	runs	tools	doors	rules	deals	6.9	noise	9
S51190	TLZ6W-Nqv1I-770.5-776.8	0.09	unlikely	nicely	unlikely	lightly	lively	slightly	6.9	noise	8
S50372	Sek29hwUjZE-326.0-332.7	0.09	truly	truly	juicy	treaty	tricky	pretty	6.9	noise	11
S51309	TLZ6W-Nqv1I-243.6-247.4	0.09	spitting	spitting	stepping	spilling	sticking	speaking	6.9	noise	10
S52559	TLZ6W-Nqv1I-109.8-115.7	0.09	went	one's	meant	west	went	want	6.9	noise	12
S52522	fFJeTy1_8Ng-70.8-77.3	0.09	density	density	vanity	sensitive	dignity	unity	6.9	noise	12
S50946	13zN4-MVM9g-264.7-268.2	0.1	chased	trained	placed	None	priced	traced	6.9	noise	7
S52509	inf4-ZpqPMU-415.1-419.2	0.1	insights	inputs	inmates	websites	insights	insects	6.9	noise	7
S51753	kWyQNCOow7A-280.0-282.7	0.1	worker	murder	worker	server	winter	water	6.9	noise	7
S51431	2KMk1lJGPlk-116.9-124.9	0.16	plus	flaws	flat	plus	blood	press	6.9	noise	12
S50925	kmbui1xF8DE-91.1-95.8	0.17	wall	ball	wall	war	well	one	6.9	noise	13
S51614	opdCfb8cCFw-588.8-593.4	0.19	laws	run	read	loss	less	laws	6.9	noise	12
S52457	Sek29hwUjZE-378.2-381.8	0.19	like	right	late	life	loud	like	6.9	noise	8
S52601	uwKS1lT_YZU-731.2-735.7	0.19	running	running	losing	letting	reading	leading	6.9	noise	10
S51853	kWyQNCOow7A-254.0-257.0	0.19	investing	inviting	involving	injecting	inducing	investing	6.9	noise	8
S50482	UL95OYBRbOc-307.3-312.4	0.19	hard	heart	held	hard	part	hand	6.9	noise	7
S50941	zY2ksORCLbs-227.9-231.2	0.21	since	sent	sense	scenes	sets	since	6.9	noise	10
S50922	kWyQNCOow7A-103.9-108.0	0.21	investors	inventors	inventions	investment	investors	invest	6.9	noise	10
S52666	QE8kNh52EeU-274.9-276.8	0.21	view	blew	draw	threw	view	flew	6.9	noise	9
S51955	FG6NHP9nV3g-89.3-91.3	0.21	settle	sudden	little	settle	wrestle	cities	6.9	noise	7
S51517	O97OSp3yUDg-192.7-198.4	0.21	faced	hates	raced	find	failed	faced	6.9	noise	13
S52460	QL_pN4JtJKc-68.4-73.8	0.21	routines	screens	teens	genes	returns	None	6.9	noise	13
S50439	kWyQNCOow7A-617.4-621.6	0.22	isn't	aren't	image	isn't	doesn't	didn't	6.9	noise	8
S50302	I3BJVaioX_k-58.0-62.9	0.22	we'd	well	we'd	one	would	we've	6.9	noise	12
S52244	PNLwMSvPurc-292.1-295.7	0.22	sides	sides	signs	sound	sales	lines	6.9	noise	13
S51496	UfWh3OHYbEM-201.0-204.8	0.23	really	ready	None	theory	larry	silly	6.9	noise	11
S52751	WxPGJhyFIZk-237.6-240.9	0.23	submit	None	commit	debate	admit	submitted	6.9	noise	9
S50071	uwKS1lT_YZU-401.9-405.8	0.23	protest	pretext	None	proteins	protons	rotate	6.9	noise	9
S51650	TLZ6W-Nqv1I-337.6-341.7	0.23	waste	raised	based	faced	waste	fazed	6.9	noise	12
S52552	OsbV1_tA1oU-191.5-194.2	0.23	drivers	None	braver	savers	riders	traders	6.9	noise	8
S51982	hn8N8p9P5gw-685.8-691.1	0.23	cause	good	cut	None	got	call	6.9	noise	13
S52606	kaU7IPlg9PA-54.5-58.8	0.24	digital	pivotal	digitally	visual	original	digital	6.9	noise	10
S51062	opdCfb8cCFw-623.8-628.6	0.24	amazing	breaking	training	trading	awaiting	amazing	6.9	noise	11
S51480	ir5yzW0yIk0-125.1-129.1	0.24	build	balled	None	pulled	filled	built	6.9	noise	11
S52554	bqQJv4bvrPI-300.1-305.1	0.24	around	round	around	account	mind	found	6.9	noise	11
S52517	fFJeTy1_8Ng-248.7-252.0	0.25	question	christian	gesture	kitchen	western	question	6.9	noise	7
S51308	y3emv9DIEkE-258.5-261.3	0.25	passion	pocket	vision	mission	battle	passion	6.9	noise	10
S50099	YW1-7OFolJg-645.1-651.6	0.25	time	side	time	name	town	hype	6.9	noise	13
S50794	kdAs3UVgIGg-809.3-814.3	0.25	relegated	replicated	obligated	elevated	relegated	allocated	6.9	noise	13
S51382	JJyeKiT8g4g-223.3-227.0	0.25	mimic	mimic	missing	booming	moving	meeting	6.9	noise	12
S52267	O97OSp3yUDg-108.6-114.3	0.25	interest	innocent	interest	ancient	artist	instant	6.9	noise	12
S52253	BAswj8evFZk-648.5-653.9	0.26	prepared	propel	report	compared	None	pretend	6.9	noise	11
S50902	UfWh3OHYbEM-371.3-373.3	0.26	common	given	couple	thomas	famine	common	6.9	noise	8
S50681	IGJt7QmtUOk-710.3-712.6	0.27	answered	ordered	entered	dancers	answered	mastered	6.9	noise	8
S50162	YW1-7OFolJg-308.9-314.0	0.27	finches	finches	hinges	perches	munching	searches	6.9	noise	12
S50894	kaU7IPlg9PA-494.1-498.7	0.27	ownership	overlap	overkill	overshoot	ownership	authorship	6.9	noise	12
S51187	qNTf3Zu-oZk-640.1-643.6	0.27	it's	odds	end	apps	eggs	it's	6.9	noise	12
S51567	PmY1Dr2iQ_Q-80.2-84.2	0.27	goal	whole	coat	None	soul	role	6.9	noise	12
S52073	kaU7IPlg9PA-520.3-524.0	0.28	quite	bright	clown	cloud	quite	great	6.9	noise	12
S52613	kdAs3UVgIGg-658.7-661.0	0.28	building	building	filming	sending	helping	funding	6.9	noise	7
S51224	WxPGJhyFIZk-507.9-510.6	0.28	wouldn't	doesn't	couldn't	didn't	None	shouldn't	6.9	noise	10
S52236	hn8N8p9P5gw-464.3-467.6	0.28	bone	phone	bone	main	boat	vote	6.9	noise	11
S51651	BTB_HPL2r88-330.3-333.3	0.29	nature	culture	capture	torture	nurture	nature	6.9	noise	13
S51710	bUqur6hZvKg-360.0-364.5	0.29	source	thoughts	source	sense	north	force	6.9	noise	9
S52438	Sek29hwUjZE-128.6-132.5	0.29	answer	alter	order	answer	enter	cancer	6.9	noise	9
S51422	-3y6_7_5PcQ-741.9-747.3	0.39	reflects	None	relates	effects	detects	respects	6.9	noise	12
S51634	QE8kNh52EeU-618.1-622.1	0.09	worse	worse	burn	hurt	work	worth	-5.4	speech	9
S51711	B6lBtiQZSho-757.2-760.1	0.1	kids	cuts	kids	heads	guns	goods	-5.4	speech	7
S51041	OfCLTQhW9GQ-651.9-654.3	0.1	wrote	rode	roll	rose	note	wrote	-5.4	speech	7
S50355	kmbui1xF8DE-18.5-24.5	0.1	protection	affection	production	protection	potential	attention	-5.4	speech	11
S51717	OsbV1_tA1oU-703.1-705.8	0.1	helping	testing	building	helping	hunting	sending	-5.4	speech	7
S51718	9EBkS2kE7uk-813.5-817.6	0.16	grateful	grateful	gracious	painful	greatly	greater	-5.4	speech	13
S50607	sBQv41YbdCk-401.8-405.7	0.16	toilet	toilet	target	pilot	title	table	-5.4	speech	11
S50446	8NSQYO2es3U-131.3-135.2	0.17	youth	shoot	root	good	use	None	-5.4	speech	8
S52699	hn8N8p9P5gw-256.7-262.0	0.17	vision	vicious	russian	vivid	fashion	vision	-5.4	speech	13
S52602	kWyQNCOow7A-231.9-236.4	0.18	worker	worker	water	winter	burglar	server	-5.4	speech	11
S51199	uwKS1lT_YZU-226.7-232.0	0.18	expected	expanded	exported	extended	excited	expected	-5.4	speech	13
S52393	TLZ6W-Nqv1I-383.7-388.2	0.19	care	kiss	get	call	cut	care	-5.4	speech	9
S50994	B6lBtiQZSho-25.6-27.7	0.19	model	battle	model	metal	moral	panel	-5.4	speech	9
S52550	ABHdTi1If0c-190.3-192.8	0.19	earn	turn	learn	hurt	earn	burn	-5.4	speech	9
S52726	PXB3-yVGHcI-33.9-36.5	0.19	indian	guardian	indian	engine	audience	israel	-5.4	speech	9
S52782	opdCfb8cCFw-665.7-668.7	0.19	water	whether	weather	water	mother	better	-5.4	speech	9
S50725	kWyQNCOow7A-415.0-419.8	0.2	safety	safety	saving	sixty	mainly	ninety	-5.4	speech	11
S52079	xnfEBUI_YTE-289.7-293.2	0.2	barrier	border	barrier	happier	former	funnier	-5.4	speech	12
S52758	OsbV1_tA1oU-136.6-141.3	0.2	wedges	wages	wedges	welcome	lenses	region	-5.4	speech	12
S52228	PmY1Dr2iQ_Q-310.9-315.2	0.21	tiny	shiny	tiny	mighty	daily	highly	-5.4	speech	12
S51731	kWyQNCOow7A-433.5-437.0	0.21	risky	nasty	rarely	disney	sydney	risky	-5.4	speech	11
S52176	DhnBn_c9f8Q-300.4-303.1	0.21	laws	read	lead	run	laws	less	-5.4	speech	10
S51074	TLZ6W-Nqv1I-609.3-613.2	0.21	ways	None	wait	wide	white	wise	-5.4	speech	10
S51096	vMQlj9TZQfE-96.9-99.3	0.21	dear	dear	cell	dead	tour	door	-5.4	speech	7
S51374	BTB_HPL2r88-70.0-73.5	0.21	milk	meals	park	milk	mask	mosque	-5.4	speech	13
S50380	9EBkS2kE7uk-706.2-709.9	0.22	take	hate	take	save	like	make	-5.4	speech	10
S52287	9EBkS2kE7uk-884.2-887.0	0.22	proof	None	brought	group	truth	brief	-5.4	speech	9
S51247	8NSQYO2es3U-681.2-684.6	0.22	advance	enhance	convince	None	adapt	dance	-5.4	speech	7
S51113	Mm-_QZ_tf0s-481.9-486.1	0.22	tracker	treasure	None	pressure	speaker	trigger	-5.4	speech	9
S50323	bUqur6hZvKg-100.9-105.7	0.22	shift	kept	ripped	left	shift	gift	-5.4	speech	12
S52353	UfWh3OHYbEM-490.2-494.0	0.22	pinch	None	punch	lunch	haunts	pants	-5.4	speech	13
S50986	IGJt7QmtUOk-35.2-38.6	0.23	country's	entry	None	pantry	entries	money's	-5.4	speech	10
S51240	rfA1ThekjGM-284.7-288.7	0.23	form	force	board	born	form	film	-5.4	speech	11
S50309	OsbV1_tA1oU-418.3-422.4	0.23	disgusted	distorted	discusses	disgusted	disgruntled	disrupted	-5.4	speech	9
S52002	OfCLTQhW9GQ-232.0-237.7	0.23	rows	knows	wrote	road	None	race	-5.4	speech	11
S52561	TLZ6W-Nqv1I-356.2-360.8	0.23	vogue	phone	road	vogue	bone	boat	-5.4	speech	13
S52684	ABHdTi1If0c-736.7-739.7	0.23	sometimes	supplies	styles	combines	sometimes	smiles	-5.4	speech	10
S51185	JJyeKiT8g4g-54.0-59.8	0.24	like	like	take	live	loud	life	-5.4	speech	8
S51837	UfWh3OHYbEM-224.0-226.2	0.24	shirt	shirt	third	word	purse	girl	-5.4	speech	8
S50275	-3y6_7_5PcQ-77.5-81.5	0.24	framed	framed	claimed	trained	thrived	climbed	-5.4	speech	10
S50940	QE8kNh52EeU-106.6-109.3	0.24	thought	said	suit	thought	hot	set	-5.4	speech	8
S51708	JJyeKiT8g4g-920.8-923.6	0.24	coaches	coaches	pitches	benches	searches	voted	-5.4	speech	7
S51439	2g8BeujckJY-500.8-505.5	0.24	support	None	toward	afford	spent	start	-5.4	speech	12
S51835	fFJeTy1_8Ng-743.2-747.5	0.25	soul	whole	soul	soil	road	role	-5.4	speech	7
S52626	z9jXW9r1xr8-366.5-371.1	0.25	food	pool	food	four	fit	put	-5.4	speech	13
S52458	JJyeKiT8g4g-566.7-573.3	0.25	slowly	smoothly	closed	clearly	smoky	slowly	-5.4	speech	13
S52390	w8mToWb9NC8-145.4-148.9	0.25	reasons	recent	reasons	lesions	decent	lessons	-5.4	speech	12
S52120	OsbV1_tA1oU-213.2-216.6	0.26	shifting	shifting	hunting	tilting	lifting	testing	-5.4	speech	12
S51653	O97OSp3yUDg-644.6-648.8	0.26	shaking	waking	taking	None	making	facing	-5.4	speech	8
S50993	-3y6_7_5PcQ-73.6-77.0	0.26	reverence	reference	reverence	difference	tolerance	preference	-5.4	speech	10
S52328	opdCfb8cCFw-540.2-543.2	0.26	water	better	weather	water	user	mother	-5.4	speech	8
S51497	vMQlj9TZQfE-463.1-466.3	0.27	we're	None	war	well	one	would	-5.4	speech	9
S50039	QE8kNh52EeU-569.3-572.2	0.29	life	life	like	time	rise	right	-5.4	speech	13
S50087	uwKS1lT_YZU-486.5-491.0	0.29	woman	weapon	wooden	woman	common	given	-5.4	speech	11
S52027	2g8BeujckJY-288.4-291.0	0.3	like	live	like	life	rise	right	-5.4	speech	8
S50776	9EBkS2kE7uk-348.9-352.6	0.3	internet	internship	intellect	intercom	intern	internet	-5.4	speech	10
S52470	BAswj8evFZk-344.3-346.5	0.31	live	None	life	write	ride	rise	-5.4	speech	9
S52092	OsbV1_tA1oU-253.9-258.6	0.36	group	graff	crop	cruz	grimm	group	-5.4	speech	13
S52257	qNTf3Zu-oZk-275.1-279.6	0.4	category	categories	capillary	matador	category	lavatory	-5.4	speech	13
S50531	B6rIUxHZ9f4-61.2-63.4	0.08	jungle	single	angle	jungle	fungus	justice	-1.2	noise	7
S50090	opdCfb8cCFw-716.5-719.5	0.09	granting	granting	standing	planting	grasping	printing	-1.2	noise	9
S51242	-3y6_7_5PcQ-183.9-188.2	0.09	intention	intention	intentional	invention	infection	contention	-1.2	noise	9
S50003	wGGmzeCT8gU-278.3-281.9	0.09	planets	panels	prints	planets	limits	planners	-1.2	noise	10
S51551	OfCLTQhW9GQ-599.6-604.6	0.1	schools	scans	schemes	schools	scores	skills	-1.2	noise	9
S52533	kaU7IPlg9PA-425.8-429.6	0.1	privacy	prices	rivals	privacy	crisis	prizes	-1.2	noise	7
S52119	B6lBtiQZSho-85.7-89.9	0.17	coached	total	launched	coated	coached	noted	-1.2	noise	9
S52334	uwKS1lT_YZU-327.4-333.9	0.17	mentor	None	mentally	metaphor	therefore	mental	-1.2	noise	11
S50695	2KMk1lJGPlk-274.4-278.3	0.17	wrong	long	song	wrong	rock	dog	-1.2	noise	12
S52735	inf4-ZpqPMU-511.4-515.6	0.17	timed	named	sound	timed	find	kind	-1.2	noise	9
S50137	2KMk1lJGPlk-174.0-178.9	0.17	dumb	sum	top	done	dumb	dim	-1.2	noise	10
S50406	JJyeKiT8g4g-91.7-98.3	0.17	elections	actions	directions	emotions	connections	elections	-1.2	noise	12
S52040	CbnQtb9LUY4-100.3-103.8	0.18	faster	factor	faster	feature	master	sister	-1.2	noise	10
S52709	uwKS1lT_YZU-817.9-823.4	0.19	women	cabin	limit	yemen	women	weapon	-1.2	noise	9
S50026	qNTf3Zu-oZk-249.8-252.8	0.19	built	pulled	filled	felt	build	built	-1.2	noise	9
S51169	WxPGJhyFIZk-1037.4-1043.0	0.2	ronald	settled	rebels	ronald	novels	huddled	-1.2	noise	13
S51537	oMBVxhO57JE-181.5-187.4	0.2	alone	prone	alive	alone	brown	alike	-1.2	noise	11
S52545	inf4-ZpqPMU-385.3-389.5	0.21	alone	prose	brown	alive	plane	alone	-1.2	noise	10
S52515	z3d_UsYgt1c-270.0-275.6	0.21	takes	takes	types	rates	makes	taste	-1.2	noise	10
S50791	I6xuJu7gLe0-233.2-238.1	0.21	harness	target	harness	horses	garden	business	-1.2	noise	11
S50385	fFJeTy1_8Ng-78.3-83.5	0.21	capital	cameras	capital	national	chemical	radical	-1.2	noise	10
S50797	z3d_UsYgt1c-226.4-228.7	0.21	come	gun	come	cap	cup	gone	-1.2	noise	7
S50599	vMQlj9TZQfE-597.1-600.4	0.21	raised	based	None	rights	faced	sailed	-1.2	noise	8
S52348	QE8kNh52EeU-288.6-293.4	0.22	stress	stress	street	unless	across	strong	-1.2	noise	13
S51004	ABHdTi1If0c-515.0-518.1	0.22	cynical	critical	cynical	single	vehicle	typical	-1.2	noise	10
S52260	B6rIUxHZ9f4-140.9-146.8	0.22	ecological	theological	ecological	logical	illogical	ecologically	-1.2	noise	11
S52582	8NSQYO2es3U-678.0-681.1	0.22	honor	either	enter	offer	None	answer	-1.2	noise	7
S50572	B6rIUxHZ9f4-576.0-583.4	0.22	cities	sitting	None	subtle	theories	series	-1.2	noise	12
S50080	UfWh3OHYbEM-795.0-797.5	0.23	real	rare	deal	rule	near	None	-1.2	noise	10
S50758	BAswj8evFZk-503.1-506.4	0.23	entire	higher	fire	entire	wire	tower	-1.2	noise	9
S51701	TVNHd8ZODio-315.6-319.7	0.23	rights	None	lights	lines	rates	sights	-1.2	noise	12
S51707	utiLrnvawQQ-193.1-197.7	0.23	take	type	like	save	make	None	-1.2	noise	9
S50935	z3d_UsYgt1c-77.3-83.0	0.23	observing	preserving	serving	absorbing	observing	burning	-1.2	noise	12
S50240	y3emv9DIEkE-521.4-524.2	0.23	ability	bigotry	civility	ability	abilities	agility	-1.2	noise	10
S50661	ir5yzW0yIk0-177.1-182.1	0.23	affect	offend	adapt	event	None	assist	-1.2	noise	11
S51488	I3BJVaioX_k-886.7-889.7	0.24	hard	hand	card	hard	heart	ford	-1.2	noise	7
S50381	DhnBn_c9f8Q-387.3-392.6	0.24	real	real	rare	rule	near	deal	-1.2	noise	11
S51845	TVNHd8ZODio-599.8-603.9	0.24	happens	weapons	patent	happens	hasn't	habits	-1.2	noise	11
S51351	9EBkS2kE7uk-848.1-851.6	0.24	grateful	greater	painful	playful	grateful	greatly	-1.2	noise	11
S52179	PmY1Dr2iQ_Q-168.0-170.2	0.25	brains	planes	grains	traits	brains	frames	-1.2	noise	9
S52537	OMDVTZ-ycaY-323.7-328.4	0.26	mentally	morally	carefully	totally	mentally	fantasy	-1.2	noise	11
S52142	OfCLTQhW9GQ-67.7-70.6	0.26	paper	labor	maker	labour	paper	favor	-1.2	noise	11
S51841	MgM8MGEikDY-66.6-69.4	0.26	innovation	isolation	integration	operation	None	information	-1.2	noise	8
S51221	TVNHd8ZODio-625.8-628.6	0.26	daughters	desert	tutors	daughters	letters	dollars	-1.2	noise	8
S52731	O97OSp3yUDg-623.4-627.9	0.27	seeds	seats	scenes	sits	teens	seeds	-1.2	noise	11
S50325	OfCLTQhW9GQ-283.2-286.3	0.27	changed	challenged	traded	changed	cringed	trained	-1.2	noise	8
S52381	w8mToWb9NC8-152.7-155.9	0.27	cheerier	linear	warrior	barrier	cheerier	superior	-1.2	noise	12
S50717	TVNHd8ZODio-125.8-129.2	0.28	many	mini	many	money	mary	messy	-1.2	noise	10
S50027	sBQv41YbdCk-264.5-269.0	0.28	presenter	printer	present	predator	None	prisoner	-1.2	noise	12
S52098	2g8BeujckJY-292.3-296.5	0.28	give	give	come	keep	kiss	get	-1.2	noise	13
S50683	B6rIUxHZ9f4-58.1-61.2	0.28	sleep	sleep	flip	trip	step	slip	-1.2	noise	9
S50051	kmbui1xF8DE-142.0-147.3	0.36	separation	operation	desperation	medication	None	preparation	-1.2	noise	13
S52369	bqQJv4bvrPI-692.4-695.3	0.08	straighten	straining	brighten	strange	strengthen	straighten	-13.5	speech	7
S51648	sBQv41YbdCk-259.6-263.9	0.09	humbly	family	hardly	humbly	happily	simply	-13.5	speech	12
S51768	ABHdTi1If0c-186.2-190.3	0.09	ocean	motion	action	ocean	asian	open	-13.5	speech	9
S50264	bUqur6hZvKg-323.9-326.8	0.09	spotlight	spotlight	sunlight	starlight	apartheid	satellite	-13.5	speech	7
S52151	OsbV1_tA1oU-484.5-488.4	0.09	assume	prove	attack	appeal	appear	assume	-13.5	speech	9
S50644	sBQv41YbdCk-302.1-305.6	0.09	choices	taxes	faces	chances	choices	voices	-13.5	speech	10
S51977	IGJt7QmtUOk-73.8-77.8	0.1	without	throughout	without	doubt	remote	white	-13.5	speech	7
S51667	FG6NHP9nV3g-213.5-218.1	0.16	instigate	None	institute	indicate	innovate	integrate	-13.5	speech	12
S51630	ABHdTi1If0c-533.5-537.6	0.17	wrote	known	rose	wrote	road	note	-13.5	speech	12
S52122	BTB_HPL2r88-325.4-329.7	0.17	evolve	evolve	twelve	solve	revealed	event	-13.5	speech	12
S51230	7pMhqyteR5g-219.4-224.4	0.18	living	looming	leading	reading	leaving	living	-13.5	speech	13
S51669	bUqur6hZvKg-367.9-371.9	0.19	reflect	select	collect	reflect	reject	respect	-13.5	speech	9
S51744	IGJt7QmtUOk-764.1-768.6	0.19	delivered	delicious	delivered	deleted	discovered	desired	-13.5	speech	9
S50660	UL95OYBRbOc-75.2-79.2	0.2	freed	fruit	breed	flat	please	freed	-13.5	speech	12
S50715	2KMk1lJGPlk-44.4-51.3	0.2	favor	paper	labour	labor	favor	savor	-13.5	speech	13
S51483	7pMhqyteR5g-37.7-42.7	0.2	designing	designing	joining	remaining	refining	aligning	-13.5	speech	8
S51817	PXB3-yVGHcI-62.9-68.5	0.21	cultures	cultures	nature's	pictures	lectures	features	-13.5	speech	13
S51934	utiLrnvawQQ-326.2-330.9	0.21	polluting	producing	collecting	reducing	polluting	planning	-13.5	speech	10
S51816	bUqur6hZvKg-374.7-379.2	0.21	knowing	showing	knowing	saying	going	talking	-13.5	speech	11
S50118	LQMLFryA_7k-547.2-552.8	0.21	span	skin	spot	smell	span	smith	-13.5	speech	11
S51179	kWyQNCOow7A-403.7-407.3	0.22	tripling	tripling	traveling	struggling	channeling	twiddling	-13.5	speech	11
S50720	VasJyDmMafA-215.0-217.8	0.22	hindered	richard	hindered	rendered	history	harvard	-13.5	speech	8
S50030	UL95OYBRbOc-474.0-477.9	0.22	bricks	None	blocks	trucks	tracks	tricks	-13.5	speech	10
S50217	9EBkS2kE7uk-503.1-509.5	0.22	exhausting	exhausting	costing	existing	exotic	exhibiting	-13.5	speech	13
S52686	TLZ6W-Nqv1I-632.2-636.9	0.22	we're	we've	would	we're	one	year	-13.5	speech	9
S52340	ABHdTi1If0c-22.4-26.0	0.23	divided	divided	provided	delighted	devices	decided	-13.5	speech	12
S52472	JJyeKiT8g4g-387.7-390.2	0.23	floor	plus	flat	plan	blood	None	-13.5	speech	8
